130,151.78,178
135,153.96,178
139,155.44,178
137,156.48,182
136,157.28,182
135,158.24,187
140,160.32,187
137,161.44,187
144,164.3,187
143,166.5,187
140,167.84,187
144,169.46,187
142,172.08,189
147,173.72,198
150,175.38,198
147,177.34,198
149,178.98,198
145,180.3,198
158,182.56,198
158,183.44,199
152,184.34,199
160,186.04,200
170,187.12,201
170,188.74,201
171,189.36,201
167,190.04,201
176,190.82,201
171,191.52,202
172,192.32,202
176,192.94,202
181,193.7,202
181,194.62,203
180,195.14,203
177,195.52,203
176,196.3,203
181,196.82,203
182,197.42,206
182,197.82,206
181,198.62,206
183,199.3,206
186,199.74,207
188,200.26,207
188,200.46,208
191,200.78,209
192,201.08,210
193,201.52,210
192,201.82,212
193,202.22,212
192,202.64,213
194,203.08,213
